geometry.coordinates	route_name	name	stop_number	stop_modifier
144.9865401,-37.8678536	Tram 16: Melbourne University => Kew	Brighton Road	35	
144.9877154,-37.8680403	Tram 16: Kew => Melbourne University	Brighton Road	35	
144.9877154,-37.8680403	Tram 3: East Malvern => Melbourne University	Brighton Road	35	
144.9874197,-37.8562073	Tram 64: East Brighton => Melbourne University	Queens Way	31	
144.9874197,-37.8562073	Tram 5: Malvern => Melbourne University	Queens Way	31	
144.9874176,-37.8561757	Tram 64: Melbourne University => East Brighton	Queens Way	31	
144.9874176,-37.8561757	Tram 5: Melbourne University => Malvern	Queens Way	31	
144.9923517,-37.857397	Tram 78: North Richmond => Balaclava	Dandenong Road	42	
144.992216,-37.8579401	Tram 78: Balaclava => North Richmond	Dandenong Road	42	
144.9957572,-37.8582434	Tram 64: Melbourne University => East Brighton	Hornby Street	33	
144.9957572,-37.8582434	Tram 5: Melbourne University => Malvern	Hornby Street	33	
144.9957481,-37.858277	Tram 64: East Brighton => Melbourne University	Hornby Street	33	
144.9957481,-37.858277	Tram 5: Malvern => Melbourne University	Hornby Street	33	
145.0219324,-37.8638233	Tram 64: East Brighton => Melbourne University	Matlock Court	43	
145.0219858,-37.8638	Tram 64: Melbourne University => East Brighton	Egerton Road	43	
145.0237396,-37.8646053	Tram 64: East Brighton => Melbourne University	Bailey Avenue	44	
145.0238072,-37.8645933	Tram 64: Melbourne University => East Brighton	Bailey Avenue	44	
145.0278511,-37.8652468	Tram 16: Melbourne University => Kew	Malvern Station	53	
144.9848443,-37.8456339	Tram 72: Melbourne University => Camberwell	Punt Road	27	
144.985169,-37.8457063	Tram 72: Camberwell => Melbourne University	Punt Road	27	
144.9886251,-37.868121	Tram 16: Melbourne University => Kew	St Kilda Town Hall	36	
144.9886251,-37.868121	Tram 3: Melbourne University => East Malvern	St Kilda Town Hall	36	
144.9905369,-37.8684056	Tram 16: Kew => Melbourne University	Chapel Street	37	
144.9905369,-37.8684056	Tram 3: East Malvern => Melbourne University	Chapel Street	37	
144.9888381,-37.8681886	Tram 16: Kew => Melbourne University	St Kilda Town Hall	36	
144.9888381,-37.8681886	Tram 3: East Malvern => Melbourne University	St Kilda Town Hall	36	
144.9903098,-37.8685102	Tram 78: Balaclava => North Richmond	Carlisle Street	37	
144.993963,-37.8688099	Tram 16: Melbourne University => Kew	Balaclava Station	38	
144.993963,-37.8688099	Tram 3: Melbourne University => East Malvern	Balaclava Station	38	
144.9935765,-37.8687988	Tram 16: Kew => Melbourne University	Balaclava Station	38	
144.9935765,-37.8687988	Tram 3: East Malvern => Melbourne University	Balaclava Station	38	
144.996746,-37.8691886	Tram 16: Kew => Melbourne University	Carlisle Avenue	39	
144.996746,-37.8691886	Tram 3: East Malvern => Melbourne University	Carlisle Avenue	39	
144.9964873,-37.8691248	Tram 16: Melbourne University => Kew	Orange Grove	39	
144.9964873,-37.8691248	Tram 3: Melbourne University => East Malvern	Orange Grove	39	
144.9993127,-37.8694766	Tram 16: Melbourne University => Kew	Hotham Street	40	
144.9993127,-37.8694766	Tram 3: Melbourne University => East Malvern	Hotham Street	40	
144.9996128,-37.8695449	Tram 16: Kew => Melbourne University	Hotham Street	40	
144.9996128,-37.8695449	Tram 3: East Malvern => Melbourne University	Hotham Street	40	
145.0025957,-37.869917	Tram 16: Kew => Melbourne University	Vadlure Avenue	41	
145.0025957,-37.869917	Tram 3: East Malvern => Melbourne University	Vadlure Avenue	41	
145.0015042,-37.869749	Tram 16: Melbourne University => Kew	Empress Road	41	
145.0015042,-37.869749	Tram 3: Melbourne University => East Malvern	Empress Road	41	
145.0056362,-37.8702978	Tram 16: Kew => Melbourne University	Sidwell Avenue	42	
145.0056362,-37.8702978	Tram 3: East Malvern => Melbourne University	Sidwell Avenue	42	
145.0052617,-37.8702186	Tram 16: Melbourne University => Kew	Sidwell Avenue	42	
145.0052617,-37.8702186	Tram 3: Melbourne University => East Malvern	Sidwell Avenue	42	
145.0084637,-37.8706186	Tram 16: Melbourne University => Kew	Orrong Road	43	
145.0084637,-37.8706186	Tram 3: Melbourne University => East Malvern	Orrong Road	43	
145.0087929,-37.8706911	Tram 16: Kew => Melbourne University	Orrong Road	43	
145.0087929,-37.8706911	Tram 3: East Malvern => Melbourne University	Orrong Road	43	
145.0123599,-37.8711043	Tram 16: Melbourne University => Kew	Ontario Street	44	
145.0123599,-37.8711043	Tram 3: Melbourne University => East Malvern	Ontario Street	44	
145.0123634,-37.8711368	Tram 16: Kew => Melbourne University	Otira Road	44	
145.0123634,-37.8711368	Tram 3: East Malvern => Melbourne University	Otira Road	44	
145.0150756,-37.8714772	Tram 16: Kew => Melbourne University	Lumeah Road	45	
145.0150756,-37.8714772	Tram 3: East Malvern => Melbourne University	Lumeah Road	45	
145.0147245,-37.8714025	Tram 16: Melbourne University => Kew	Kent Grove	45	
145.0147245,-37.8714025	Tram 3: Melbourne University => East Malvern	Kent Grove	45	
145.0176187,-37.8717651	Tram 16: Melbourne University => Kew	Kooyong Road	46	
145.0176187,-37.8717651	Tram 3: Melbourne University => East Malvern	Kooyong Road	46	
145.0179352,-37.8718345	Tram 16: Kew => Melbourne University	Kooyong Road	46	
145.0179352,-37.8718345	Tram 3: East Malvern => Melbourne University	Kooyong Road	46	
145.0212265,-37.8722428	Tram 16: Kew => Melbourne University	Elmhurst Road	47	
145.0212265,-37.8722428	Tram 3: East Malvern => Melbourne University	Elmhurst Road	47	
145.0210344,-37.8721875	Tram 16: Melbourne University => Kew	Elmhurst Road	47	
145.0210344,-37.8721875	Tram 3: Melbourne University => East Malvern	Elmhurst Road	47	
145.0244484,-37.8726077	Tram 16: Melbourne University => Kew	Hawthorn Road	51	
145.0244484,-37.8726077	Tram 3: Melbourne University => East Malvern	Hawthorn Road	51	
145.0247791,-37.8724386	Tram 16: Kew => Melbourne University	Balaclava Road	51	
145.0247791,-37.8724386	Tram 64: Melbourne University => East Brighton	Balaclava Road	51	
145.0281617,-37.8730994	Tram 3: East Malvern => Melbourne University	Caulfield Park Bowling Club	52	
145.0284873,-37.8731053	Tram 3: Melbourne University => East Malvern	Caulfield Park Bowling Club	52	
145.0319587,-37.8735658	Tram 3: East Malvern => Melbourne University	Caulfield Park	53	
145.0313051,-37.8734551	Tram 3: Melbourne University => East Malvern	Caulfield Park	53	
145.0358136,-37.8740127	Tram 3: Melbourne University => East Malvern	Kambrook Road	54	
145.0361396,-37.8740821	Tram 3: East Malvern => Melbourne University	Kambrook Road	54	
145.0376555,-37.8742384	Tram 3: Melbourne University => East Malvern	Normanby Road	55	
145.0392074,-37.8753755	Tram 3: East Malvern => Melbourne University	Caulfield Racecourse	56	
145.0480461,-37.8759358	Tram 3: Melbourne University => East Malvern	Burke Road	60	
145.0483659,-37.8760056	Tram 3: East Malvern => Melbourne University	Burke Road	60	
145.0511065,-37.8763406	Tram 3: East Malvern => Melbourne University	Tennyson Street	61	
145.0509169,-37.8762886	Tram 3: Melbourne University => East Malvern	Tennyson Street	61	
145.0546655,-37.8767448	Tram 3: Melbourne University => East Malvern	The Avenue	62	
145.0550204,-37.8768184	Tram 3: East Malvern => Melbourne University	The Avenue	62	
145.0569035,-37.8770455	Tram 3: East Malvern => Melbourne University	Hughes Street	63	
145.0565343,-37.8769701	Tram 3: Melbourne University => East Malvern	Oak Grove	63	
145.0587794,-37.8772587	Tram 3: East Malvern => Melbourne University	Darling Road	64	
145.0587794,-37.8772587	Tram 3: Melbourne University => East Malvern	Darling Road	64	
145.0124921,-37.8493245	Tram 72: Camberwell => Melbourne University	Toorak Station	37	
145.0120394,-37.8492335	Tram 72: Melbourne University => Camberwell	Toorak Station	37	
145.0153372,-37.849668	Tram 72: Melbourne University => Camberwell	Clendon Road	38	
145.0255749,-37.8679722	Tram 16: Melbourne University => Kew	Wanda Road	49	
145.0255749,-37.8679722	Tram 64: East Brighton => Melbourne University	Wanda Road	49	
145.025672,-37.8676587	Tram 16: Kew => Melbourne University	Arthur Street	49	
145.025672,-37.8676587	Tram 64: Melbourne University => East Brighton	Arthur Street	49	
145.0253272,-37.8694839	Tram 16: Kew => Melbourne University	Inkerman Road	50	
145.0253272,-37.8694839	Tram 64: Melbourne University => East Brighton	Inkerman Road	50	
145.0252455,-37.8697055	Tram 16: Melbourne University => Kew	Inkerman Road	50	
145.0252455,-37.8697055	Tram 64: East Brighton => Melbourne University	Inkerman Road	50	
145.0177593,-37.8609805	Tram 5: Melbourne University => Malvern	Armadale Street	41	
145.0195553,-37.8612204	Tram 5: Melbourne University => Malvern	Kooyong Road	42	
145.0227582,-37.8616654	Tram 5: Malvern => Melbourne University	Egerton Road	43	
145.0226515,-37.8616205	Tram 5: Melbourne University => Malvern	Egerton Road	43	
145.0250853,-37.8619331	Tram 5: Melbourne University => Malvern	Duncraig Avenue	44	
145.0281752,-37.8623243	Tram 5: Melbourne University => Malvern	Glenferrie Road	45	
145.0283062,-37.8624794	Tram 16: Melbourne University => Kew	Wattletree Road	54	
145.0310087,-37.8626979	Tram 5: Melbourne University => Malvern	Nicholls Street	46	
145.0313438,-37.8627714	Tram 5: Malvern => Melbourne University	Soudan Street	46	
145.0338644,-37.8631016	Tram 5: Malvern => Melbourne University	Cabrini Hospital	47	
145.0366333,-37.8634337	Tram 5: Melbourne University => Malvern	Dixon Street	48	
145.0372379,-37.863544	Tram 5: Malvern => Melbourne University	Dixon Street	48	
145.0399553,-37.8638615	Tram 5: Melbourne University => Malvern	Tooronga Road	49	
145.0402747,-37.8639325	Tram 5: Malvern => Melbourne University	Tooronga Road	49	
145.0437422,-37.8643444	Tram 5: Malvern => Melbourne University	Vincent Street	50	
145.0433364,-37.8642653	Tram 5: Melbourne University => Malvern	Vincent Street	50	
145.0465858,-37.8646523	Tram 5: Melbourne University => Malvern	Erica Avenue	51	
145.0500619,-37.8650891	Tram 5: Malvern => Melbourne University	Burke Road	52	
145.0500619,-37.8650891	Tram 5: Melbourne University => Malvern	Burke Road	52	
145.0470689,-37.8647407	Tram 5: Malvern => Melbourne University	Nott Street	51	
145.0280647,-37.8641754	Tram 16: Kew => Melbourne University	Malvern Station	53	
145.0285819,-37.8610546	Tram 16: Kew => Melbourne University	Edsall Street	55	
145.0285175,-37.8611949	Tram 16: Melbourne University => Kew	Llaneast Street	55	
145.0289407,-37.8588713	Tram 16: Kew => Melbourne University	Malvern Tram Depot	56	
145.0314874,-37.8439858	Tram 16: Melbourne University => Kew	Toorak Road	63	
145.0303044,-37.8516821	Tram 72: Camberwell => Melbourne University	Glenferrie Road	43	
145.0299914,-37.851856	Tram 16: Melbourne University => Kew	Malvern Road	59	
145.029761,-37.8515759	Tram 72: Melbourne University => Camberwell	Glenferrie Road	43	
145.0239718,-37.8508056	Tram 72: Melbourne University => Camberwell	Albany Road	41	
145.0186917,-37.8501064	Tram 72: Melbourne University => Camberwell	Irving Road	39	
145.0239689,-37.8508358	Tram 72: Camberwell => Melbourne University	Murray Street	41	
144.9984978,-37.8398175	Tram 58: West Coburg => Toorak	Tivoli Road	129	
144.9986643,-37.839866	Tram 58: Toorak => West Coburg	Tivoli Road	129	
145.0023184,-37.8403121	Tram 58: Toorak => West Coburg	Hawksburn Road	130	
145.0019658,-37.8402389	Tram 58: West Coburg => Toorak	Hawksburn Road	130	
145.0053231,-37.840677	Tram 58: Toorak => West Coburg	Williams Road	131	
145.0045672,-37.8405565	Tram 58: West Coburg => Toorak	Williams Road	131	
145.0084762,-37.8410497	Tram 58: Toorak => West Coburg	Toorak Village	132	
145.0083663,-37.8410064	Tram 58: West Coburg => Toorak	Toorak Village	132	
145.010601,-37.841271	Tram 58: West Coburg => Toorak	Grange Road	133	
145.0108917,-37.8413356	Tram 58: Toorak => West Coburg	Grange Road	133	
145.013687,-37.8416377	Tram 58: West Coburg => Toorak	Orrong Road	134	
145.0140438,-37.8417096	Tram 58: Toorak => West Coburg	Orrong Road	134	
145.0174907,-37.8420785	Tram 58: West Coburg => Toorak	Woorigoleen Road	135	
145.0176138,-37.842123	Tram 58: Toorak => West Coburg	Woorigoleen Road	135	
145.0199752,-37.8423668	Tram 58: West Coburg => Toorak	Irving Road	136	
145.0201595,-37.8424192	Tram 58: Toorak => West Coburg	Irving Road	136	
145.0230855,-37.8427839	Tram 58: Toorak => West Coburg	Kooyong Road	137	
145.022812,-37.8427196	Tram 58: West Coburg => Toorak	Kooyong Road	137	
145.0266778,-37.8432067	Tram 58: West Coburg => Toorak	Moonga Road	138	
145.0262483,-37.8431817	Tram 58: Toorak => West Coburg	Moonga Road	138	
145.0212994,-37.8504509	Tram 72: Melbourne University => Camberwell	Kooyong Road	40	
145.0156282,-37.8497368	Tram 72: Camberwell => Melbourne University	Clendon Road	38	
145.0184779,-37.8501097	Tram 72: Camberwell => Melbourne University	Densham Road	39	
145.0216296,-37.8505245	Tram 72: Camberwell => Melbourne University	Kooyong Road	40	
145.0262895,-37.8511415	Tram 72: Camberwell => Melbourne University	Lauriston Girls' School	42	
145.0260789,-37.8510852	Tram 72: Melbourne University => Camberwell	Lauriston Girls' School	42	
145.030089,-37.8515265	Tram 16: Kew => Melbourne University	Malvern Road	59	
145.0303989,-37.8496834	Tram 16: Melbourne University => Kew	Stonnington Place	60	
145.0304418,-37.8496592	Tram 16: Kew => Melbourne University	Stonnington Place	60	
145.0307727,-37.8477247	Tram 16: Melbourne University => Kew	Moorakyne Avenue	61	
145.0308156,-37.8477148	Tram 16: Kew => Melbourne University	Moorakyne Avenue	61	
145.0311605,-37.8457027	Tram 16: Melbourne University => Kew	Mayfield Avenue	62	
145.0312412,-37.845499	Tram 16: Kew => Melbourne University	Mayfield Avenue	62	
144.9896774,-37.8513544	Tram 6: Moreland railway station => Glen Iris	Prahran Station	30	
145.0290928,-37.8565739	Tram 6: Moreland railway station => Glen Iris	Glenferrie Road	44	
145.0295795,-37.8566679	Tram 6: Glen Iris => Moreland railway station	Glenferrie Road	44	
145.0292382,-37.8568182	Tram 16: Melbourne University => Kew	High Street	57	
145.0296631,-37.8540438	Tram 16: Melbourne University => Kew	Bell Street	58	
145.0296953,-37.8540731	Tram 16: Kew => Melbourne University	Bell Street	58	
145.029328,-37.8565111	Tram 16: Kew => Melbourne University	High Street	57	
145.0328944,-37.8571025	Tram 6: Glen Iris => Moreland railway station	De La Salle College	45	
145.0323853,-37.8570016	Tram 6: Moreland railway station => Glen Iris	De La Salle College	45	
145.0358079,-37.8574825	Tram 6: Glen Iris => Moreland railway station	Fraser Street	46	
145.0355761,-37.8574208	Tram 6: Moreland railway station => Glen Iris	Fraser Street	46	
145.0380473,-37.8577739	Tram 6: Glen Iris => Moreland railway station	Dixon Street	47	
145.0380023,-37.8577381	Tram 6: Moreland railway station => Glen Iris	Dixon Street	47	
145.0413445,-37.8582024	Tram 6: Glen Iris => Moreland railway station	Tooronga Road	48	
145.0410705,-37.8581362	Tram 6: Moreland railway station => Glen Iris	Tooronga Road	48	
145.0441458,-37.8585054	Tram 6: Moreland railway station => Glen Iris	Harold Holt Swim Centre	49	
145.0447243,-37.8586058	Tram 6: Glen Iris => Moreland railway station	Harold Holt Swim Centre	49	
145.0484145,-37.8590467	Tram 6: Glen Iris => Moreland railway station	Belmont Avenue	50	
145.048226,-37.858993	Tram 6: Moreland railway station => Glen Iris	Belmont Avenue	50	
145.0511578,-37.859343	Tram 6: Moreland railway station => Glen Iris	Burke Road	51	
145.0514975,-37.8594144	Tram 6: Glen Iris => Moreland railway station	Burke Road	51	
145.0537938,-37.8596566	Tram 6: Moreland railway station => Glen Iris	Boyanda Road	52	
145.054157,-37.8597329	Tram 6: Glen Iris => Moreland railway station	Boyanda Road	52	
145.0259437,-37.8561702	Tram 6: Moreland railway station => Glen Iris	Mercer Road	43	
145.0262982,-37.8562464	Tram 6: Glen Iris => Moreland railway station	Mercer Road	43	
145.0236715,-37.8558718	Tram 6: Moreland railway station => Glen Iris	Huntingtower Road	42	
145.0238626,-37.8559286	Tram 6: Glen Iris => Moreland railway station	Huntingtower Road	42	
145.0208275,-37.8555301	Tram 6: Glen Iris => Moreland railway station	Kooyong Road	41	
145.0205707,-37.8554657	Tram 6: Moreland railway station => Glen Iris	Kooyong Road	41	
145.0184545,-37.8552181	Tram 6: Glen Iris => Moreland railway station	Armadale Station	40	
145.0182885,-37.8551649	Tram 6: Moreland railway station => Glen Iris	Armadale Station	40	
145.0154159,-37.8548144	Tram 6: Glen Iris => Moreland railway station	Auburn Grove	39	
145.0149733,-37.8547247	Tram 6: Moreland railway station => Glen Iris	Auburn Grove	39	
145.0117077,-37.8543257	Tram 6: Glen Iris => Moreland railway station	Orrong Road	38	
145.0114074,-37.8542562	Tram 6: Moreland railway station => Glen Iris	Orrong Road	38	
145.0086391,-37.853897	Tram 6: Moreland railway station => Glen Iris	Airlie Avenue	37	
145.008652,-37.8539281	Tram 6: Glen Iris => Moreland railway station	Airlie Avenue	37	
145.0062725,-37.8535848	Tram 6: Moreland railway station => Glen Iris	Chatsworth Road	36	
145.0069062,-37.8537015	Tram 6: Glen Iris => Moreland railway station	Chatsworth Road	36	
145.0025874,-37.853118	Tram 6: Glen Iris => Moreland railway station	Williams Road	35	
145.002298,-37.8530508	Tram 6: Moreland railway station => Glen Iris	Williams Road	35	
145.0001086,-37.8527789	Tram 6: Glen Iris => Moreland railway station	Lewisham Road	34	
144.9996596,-37.8526897	Tram 6: Moreland railway station => Glen Iris	Lewisham Road	34	
144.9980533,-37.8524746	Tram 6: Moreland railway station => Glen Iris	Prahran RSL	33	
144.9986161,-37.8525793	Tram 6: Glen Iris => Moreland railway station	The Avenue	33	
144.9965893,-37.8523049	Tram 6: Glen Iris => Moreland railway station	Hornby Street	32	
144.9963723,-37.8522476	Tram 6: Moreland railway station => Glen Iris	Hornby Street	32	
144.9935072,-37.8518874	Tram 6: Glen Iris => Moreland railway station	Chapel Street	31	
144.9931931,-37.8518168	Tram 6: Moreland railway station => Glen Iris	Chapel Street	31	
144.9892553,-37.8513303	Tram 6: Glen Iris => Moreland railway station	Prahran Station	30	
144.9879306,-37.8511552	Tram 6: Glen Iris => Moreland railway station	Perth Street	29	
144.9877725,-37.8511037	Tram 6: Moreland railway station => Glen Iris	Perth Street	29	
144.9843522,-37.8506832	Tram 6: Glen Iris => Moreland railway station	Punt Road	28	
144.9840135,-37.8506116	Tram 6: Moreland railway station => Glen Iris	Punt Road	28	
144.9873726,-37.8459606	Tram 72: Melbourne University => Camberwell	Braille Library, Tyrone Street	28	
144.987589,-37.8460232	Tram 72: Camberwell => Melbourne University	Braille Library, Tyrone Street	28	
144.9907567,-37.8464371	Tram 72: Camberwell => Melbourne University	Porter Street	29	
144.992466,-37.8466604	Tram 72: Camberwell => Melbourne University	Prahran Market	30	
144.9922791,-37.8466048	Tram 72: Melbourne University => Camberwell	Prahran Market	30	
144.9942852,-37.846899	Tram 72: Camberwell => Melbourne University	Chapel Street	31	
144.9939789,-37.8468272	Tram 72: Melbourne University => Camberwell	Chapel Street	31	
144.9978105,-37.8473441	Tram 72: Melbourne University => Camberwell	Surrey Road	32	
144.9980672,-37.8474101	Tram 72: Camberwell => Melbourne University	Bendigo Street	32	
145.0005285,-37.8477117	Tram 72: Melbourne University => Camberwell	Francis Street	33	
145.0034157,-37.8481323	Tram 72: Camberwell => Melbourne University	Williams Road	34	
145.0029856,-37.8480438	Tram 72: Melbourne University => Camberwell	Williams Road	34	
145.0065668,-37.8485476	Tram 72: Camberwell => Melbourne University	Lorne Road	35	
145.006671,-37.8485302	Tram 72: Melbourne University => Camberwell	Mathoura Road	35	
145.01001,-37.8489703	Tram 72: Melbourne University => Camberwell	A'Beckett Street	36	
145.0093378,-37.8489128	Tram 72: Camberwell => Melbourne University	Canterbury Road	36	
144.9952177,-37.8415622	Tram 78: North Richmond => Balaclava	Palermo Street	49	
144.9950914,-37.8420159	Tram 78: Balaclava => North Richmond	Arthur Street	49	
144.9947257,-37.8438152	Tram 78: Balaclava => North Richmond	Cliff Street	48	
144.9948026,-37.8436154	Tram 78: North Richmond => Balaclava	Wilson Street	48	
144.9941818,-37.8467167	Tram 78: North Richmond => Balaclava	Malvern Road	47	
144.9940909,-37.8469921	Tram 78: Balaclava => North Richmond	Commercial Road	47	
144.9937627,-37.849117	Tram 78: Balaclava => North Richmond	Chatham Street	46	
144.9938266,-37.848934	Tram 78: North Richmond => Balaclava	Chatham Street	46	
144.9933227,-37.8519713	Tram 78: Balaclava => North Richmond	High Street	45	
144.9933996,-37.8517255	Tram 78: North Richmond => Balaclava	High Street	45	
144.9929256,-37.854093	Tram 78: Balaclava => North Richmond	Duke Street	44	
144.9929875,-37.8539715	Tram 78: North Richmond => Balaclava	Duke Street	44	
144.9925807,-37.8561434	Tram 78: North Richmond => Balaclava	Windsor Station	43	
144.992514,-37.8563076	Tram 78: Balaclava => North Richmond	Windsor Station	43	
144.9919983,-37.8593674	Tram 78: North Richmond => Balaclava	St Michael's Grammar School	41	
144.9919318,-37.8595413	Tram 78: Balaclava => North Richmond	St Michael's Grammar School	41	
144.9915612,-37.8615912	Tram 78: Balaclava => North Richmond	Alma Road	40	
144.991646,-37.8613275	Tram 78: North Richmond => Balaclava	Alma Road	40	
144.9912799,-37.8633679	Tram 78: North Richmond => Balaclava	Argyle Street	39	
144.9912346,-37.8634117	Tram 78: Balaclava => North Richmond	Argyle Street	39	
144.9908663,-37.8654514	Tram 78: Balaclava => North Richmond	Inkerman Street	38	
144.990951,-37.8651976	Tram 78: North Richmond => Balaclava	Inkerman Street	38	
145.051328,-37.8543655	Tram 72: Camberwell => Melbourne University	Glenarm Road	50	
145.0515273,-37.8543842	Tram 72: Melbourne University => Camberwell	Glenarm Road	50	
145.0532871,-37.8490189	Tram 72: Melbourne University => Camberwell	MacDonald Street	52	
145.0532698,-37.8493028	Tram 72: Camberwell => Melbourne University	MacDonald Street	52	
145.0539302,-37.8458151	Tram 72: Melbourne University => Camberwell	Toorak Road	54	
145.0540138,-37.845584	Tram 72: Camberwell => Melbourne University	Toorak Road	54	
145.0543149,-37.84381	Tram 72: Melbourne University => Camberwell	Middle Road	55	
145.0543868,-37.8436396	Tram 72: Camberwell => Melbourne University	Middle Road	55	
145.0547851,-37.8415659	Tram 72: Camberwell => Melbourne University	Anderson Road	56	
145.0546861,-37.8418696	Tram 72: Melbourne University => Camberwell	Anderson Road	56	
145.0550751,-37.8400458	Tram 72: Camberwell => Melbourne University	Pine Avenue	57	
145.054986,-37.8402959	Tram 72: Melbourne University => Camberwell	Pine Avenue	57	
145.0554511,-37.8380803	Tram 72: Camberwell => Melbourne University	Currajong Avenue	58	
145.0553962,-37.8381582	Tram 72: Melbourne University => Camberwell	Leura Grove	58	
145.0559098,-37.8354232	Tram 72: Melbourne University => Camberwell	Pleasant Road	59	
145.055992,-37.8351831	Tram 72: Camberwell => Melbourne University	Seymour Grove	59	
145.0328257,-37.852017	Tram 72: Camberwell => Melbourne University	Plant Street	44	
145.0324173,-37.8519315	Tram 72: Melbourne University => Camberwell	Plant Street	44	
145.0353144,-37.8523175	Tram 72: Melbourne University => Camberwell	Elizabeth Street	45	
145.0354943,-37.8523701	Tram 72: Camberwell => Melbourne University	Elizabeth Street	45	
145.039225,-37.852833	Tram 72: Melbourne University => Camberwell	Meredith Street	46	
145.0388545,-37.8528156	Tram 72: Camberwell => Melbourne University	Shaftesbury Avenue	46	
145.0423392,-37.8532584	Tram 72: Camberwell => Melbourne University	Tooronga Road	47	
145.0419706,-37.8531811	Tram 72: Melbourne University => Camberwell	Tooronga Road	47	
145.0455793,-37.8536161	Tram 72: Melbourne University => Camberwell	Edgar Street	48	
145.0458852,-37.853683	Tram 72: Camberwell => Melbourne University	Edgar Street	48	
145.0482911,-37.8539418	Tram 72: Melbourne University => Camberwell	Kenilworth Grove	49	
145.0484222,-37.8539868	Tram 72: Camberwell => Melbourne University	Belmont Avenue	49	
144.9894484,-37.8717598	Tram 67: Melbourne University => Carnegie	Chapel Street	37	
144.9900889,-37.872777	Tram 67: Melbourne University => Carnegie	Brunning Street	38	
144.9901117,-37.8728909	Tram 67: Carnegie => Melbourne University	Wimbeldon Avenue	38	
144.9920423,-37.8759627	Tram 67: Carnegie => Melbourne University	Glen Eira Road	39	
144.9925279,-37.8766501	Tram 67: Melbourne University => Carnegie	Glen Eira Road	39	
144.9964935,-37.8829699	Tram 67: Melbourne University => Carnegie	Hotham Street	42	
144.9963738,-37.8828474	Tram 67: Carnegie => Melbourne University	Hotham Street	42	
144.9976242,-37.8838577	Tram 67: Carnegie => Melbourne University	Brighton Road	43	
144.9978212,-37.8838532	Tram 67: Melbourne University => Carnegie	Brighton Road	43	
145.0355596,-37.8886286	Tram 67: Carnegie => Melbourne University	Laura Street	57	
145.0541261,-37.8910648	Tram 67: Carnegie => Melbourne University	Truganini Road	66	
145.0540431,-37.8908412	Tram 67: Melbourne University => Carnegie	Truganini Road	66	
145.0228489,-37.882474	Tram 64: Melbourne University => East Brighton	Sylverly Grove	55	
145.019274,-37.9011806	Tram 64: Melbourne University => East Brighton	North Road	63	
145.0191381,-37.9015434	Tram 64: East Brighton => Melbourne University	North Road	63	
145.0222303,-37.8869457	Tram 67: Carnegie => Melbourne University	Hawthorn Road	51	
145.0219164,-37.887112	Tram 64: East Brighton => Melbourne University	Glenhuntly Road	57	
145.0220557,-37.886586	Tram 64: Melbourne University => East Brighton	Glenhuntly Road	57	
145.0544101,-37.8926962	Tram 67: Carnegie => Melbourne University	Centre Road	67	
145.0544446,-37.8926746	Tram 67: Melbourne University => Carnegie	Centre Road	67	
145.0517439,-37.8905544	Tram 67: Melbourne University => Carnegie	Mimosa Road	65	
145.0521815,-37.8906383	Tram 67: Carnegie => Melbourne University	Mimosa Road	65	
145.0494795,-37.89028	Tram 67: Melbourne University => Carnegie	Mernda Avenue	64	
145.0498533,-37.8903577	Tram 67: Carnegie => Melbourne University	Mernda Avenue	64	
145.0450555,-37.8897773	Tram 67: Carnegie => Melbourne University	Grange Road	62	
145.0445621,-37.8896859	Tram 67: Melbourne University => Carnegie	Grange Road	62	
145.047674,-37.8900902	Tram 67: Carnegie => Melbourne University	Maroona Road	63	
145.0471753,-37.890002	Tram 67: Melbourne University => Carnegie	Maroona Road	63	
145.0378314,-37.8889026	Tram 67: Carnegie => Melbourne University	Booran Road	58	
145.0375182,-37.8888336	Tram 67: Melbourne University => Carnegie	Booran Road	58	
145.0350381,-37.8885357	Tram 67: Melbourne University => Carnegie	Clarke Avenue	57	
145.033493,-37.8883787	Tram 67: Carnegie => Melbourne University	Kean Street	56	
145.0330206,-37.88829	Tram 67: Melbourne University => Carnegie	Kambrook Road	56	
145.0306792,-37.8879905	Tram 67: Melbourne University => Carnegie	Fallon Street	55	
145.0309222,-37.8880513	Tram 67: Carnegie => Melbourne University	Fallon Street	55	
145.0286667,-37.8877295	Tram 67: Melbourne University => Carnegie	Bambra Road	54	
145.0289691,-37.8878015	Tram 67: Carnegie => Melbourne University	Bambra Road	54	
145.0271055,-37.8875617	Tram 67: Carnegie => Melbourne University	Glenhuntly Tram Depot	53	
145.0267508,-37.8874842	Tram 67: Melbourne University => Carnegie	Glenhuntly Tram Depot	53	
145.0241028,-37.8871491	Tram 67: Melbourne University => Carnegie	Jasmine Street	52	
145.0241233,-37.8871823	Tram 67: Carnegie => Melbourne University	Jasmine Street	52	
145.0217947,-37.8868591	Tram 67: Melbourne University => Carnegie	Hawthorn Road	51	
145.0182968,-37.8864262	Tram 67: Melbourne University => Carnegie	Royal Parade	50	
145.0182239,-37.886448	Tram 67: Carnegie => Melbourne University	Royal Parade	50	
145.0148275,-37.8859972	Tram 67: Melbourne University => Carnegie	Kooyong Road	49	
145.015103,-37.886062	Tram 67: Carnegie => Melbourne University	Kooyong Road	49	
145.0122554,-37.8857223	Tram 67: Carnegie => Melbourne University	Parkside Street	48	
