geometry.coordinates	route_name	name	stop_number	stop_modifier
144.9641959,-37.7988359	Tram 6: Glen Iris => Moreland railway station	Melbourne University	1	
144.9641959,-37.7988359	Tram 72: Camberwell => Melbourne University	Melbourne University	1	
144.9641959,-37.7988359	Tram 5: Malvern => Melbourne University	Melbourne University	1	
144.8830504,-37.7752426	Tram 82: Moonee Ponds Junction => Footscray railway station	Williamson Road	50	
145.024652,-37.8729056	Tram 64: East Brighton => Melbourne University	Balaclava Road	51	
145.0249774,-37.8727047	Tram 3: East Malvern => Melbourne University	Hawthorn Road	51	
145.028549,-37.8624048	Tram 5: Malvern => Melbourne University	Glenferrie Road	45	
145.0283955,-37.8621519	Tram 16: Kew => Melbourne University	Wattletree Road	54	
145.0198515,-37.8612894	Tram 5: Malvern => Melbourne University	Kooyong Road	42	
145.0288763,-37.8590183	Tram 16: Melbourne University => Kew	Malvern Tram Depot	56	
145.0334161,-37.8630071	Tram 5: Melbourne University => Malvern	Cabrini Hospital	47	
144.8934268,-37.7923466	Tram 82: Moonee Ponds Junction => Footscray railway station	Droop Street	59	
144.9784174,-37.8084514	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Lansdowne Street	13	
144.9784174,-37.8084514	Tram 12: St Kilda (Park & Fitzroy Streets) => Victoria Gardens Shopping Centre	Lansdowne Street	13	
144.9764883,-37.8082464	Tram 30: Central Pier => St Vincent's Plaza	St Vincent's Plaza	12	
144.9764883,-37.8082464	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	St Vincent's Plaza	12	
144.9764883,-37.8082464	Tram 12: St Kilda (Park & Fitzroy Streets) => Victoria Gardens Shopping Centre	St Vincent's Plaza	12	
144.9645842,-37.8174427	Tram 19: Flinders Street railway station => North Coburg	Flinders Street Station	1	
144.9645842,-37.8174427	Tram 19: North Coburg => Flinders Street railway station	Flinders Street Station	1	
144.9645842,-37.8174427	Tram 59: Airport West => Flinders Street railway station	Flinders Street Station	1	
144.9645842,-37.8174427	Tram 59: Flinders Street railway station => Airport West	Flinders Street Station	1	
144.9645842,-37.8174427	Tram 57: Flinders Street railway station => West Maribyrnong	Flinders Street Station	1	
144.9645842,-37.8174427	Tram 57: West Maribyrnong => Flinders Street railway station	Flinders Street Station	1	
144.9630577,-37.8139672	Tram 19: North Coburg => Flinders Street railway station	Bourke Street Mall	3	
144.9630577,-37.8139672	Tram 59: Airport West => Flinders Street railway station	Bourke Street Mall	3	
144.9630577,-37.8139672	Tram 57: West Maribyrnong => Flinders Street railway station	Bourke Street Mall	3	
144.9614681,-37.8105968	Tram 19: Flinders Street railway station => North Coburg	Melbourne Central Station	5	
144.9614681,-37.8105968	Tram 59: Flinders Street railway station => Airport West	Melbourne Central Station	5	
144.9614681,-37.8105968	Tram 57: Flinders Street railway station => West Maribyrnong	Melbourne Central Station	5	
144.9611313,-37.8103564	Tram 30: Central Pier => St Vincent's Plaza	Melbourne Central Station	5	
